State,LGAName,StateCode,sLGACode,LGACodetxt,LGACode
Borno,Guzamala,45,10,4510,4510
Borno,Gwoza,45,11,4511,4511
Borno,Hawul,45,12,4512,4512
Borno,Jere,45,13,4513,4513
Borno,Kaga,45,14,4514,4514
Borno,Kala/Balge,45,15,4515,4515
Borno,Konduga,45,16,4516,4516
Borno,Kukawa,45,17,4517,4517
Borno,Kwaya Kusar,45,18,4518,4518
Borno,Mafa,45,19,4519,4519
Borno,Magumeri,45,20,4520,4520
Borno,Maiduguri,45,21,4521,4521
Borno,Marte,45,22,4522,4522
Borno,Mobbar,45,23,4523,4523
Borno,Monguno,45,24,4524,4524
Borno,Ngala,45,25,4525,4525
Borno,Nganzai,45,26,4526,4526
Borno,Shani,45,27,4527,4527
Cross River,Abi,46,1,4601,4601
Cross River,Akamkpa,46,2,4602,4602
Cross River,Akpabuyo,46,3,4603,4603
Cross River,Bakassi,46,4,4604,4604
Cross River,Bekwarra,46,5,4605,4605
Cross River,Biase,46,6,4606,4606
Cross River,Boki,46,7,4607,4607
Cross River,Calabar Municipal,46,8,4608,4608
Cross River,Calabar South,46,9,4609,4609
Cross River,Etung,46,10,4610,4610
Cross River,Ikom,46,11,4611,4611
Cross River,Obanliku,46,12,4612,4612
Cross River,Obubra,46,13,4613,4613
Cross River,Obudu,46,14,4614,4614
Cross River,Odukpani,46,15,4615,4615
Cross River,Ogoja,46,16,4616,4616
Cross River,Yakurr,46,17,4617,4617
Cross River,Yala,46,18,4618,4618
Delta,Aniocha North,10,1,1001,1001
Delta,Aniocha South,10,2,1002,1002
Delta,Bomadi,10,3,1003,1003
Delta,Burutu,10,4,1004,1004
Delta,Ethiope East,10,5,1005,1005
Delta,Ethiope West,10,6,1006,1006
Delta,Ika North East,10,7,1007,1007
Delta,Ika South,10,8,1008,1008
Delta,Isoko North,10,9,1009,1009
Delta,Isoko South,10,10,1010,1010
Delta,Ndokwa East,10,11,1011,1011
Delta,Ndokwa West,10,12,1012,1012
Delta,Okpe,10,13,1013,1013
Delta,Oshimili North,10,14,1014,1014
Delta,Oshimili South,10,15,1015,1015
Delta,Patani,10,16,1016,1016
Delta,Sapele,10,17,1017,1017
Delta,Udu,10,18,1018,1018
Delta,Ughelli North,10,19,1019,1019
Delta,Ughelli South,10,20,1020,1020
Delta,Ukwuani,10,21,1021,1021
Delta,Uvwie,10,22,1022,1022
Delta,Warri North,10,23,1023,1023
Delta,Warri South,10,24,1024,1024
Delta,Warri South-West,10,25,1025,1025
Ebonyi,Abakaliki,11,1,1101,1101
Ebonyi,Afikpo North,11,2,1102,1102
Ebonyi,Afikpo South,11,3,1103,1103
Ebonyi,Ebonyi,11,4,1104,1104
Ebonyi,Ezza North,11,5,1105,1105
Ebonyi,Ezza South,11,6,1106,1106
Ebonyi,Ikwo,11,7,1107,1107
Ebonyi,Ishielu,11,8,1108,1108
Ebonyi,Ivo,11,9,1109,1109
Ebonyi,Izzi,11,10,1110,1110
Ebonyi,Ohaozara,11,11,1111,1111
Ebonyi,Ohaukwu,11,12,1112,1112
Ebonyi,Onicha,11,13,1113,1113
Edo,Akoko-Edo,12,1,1201,1201
Edo,Egor,12,2,1202,1202
Edo,Esan Central,12,3,1203,1203
Edo,Esan North-East,12,4,1204,1204
Edo,Esan South-East,12,5,1205,1205
Edo,Esan West,12,6,1206,1206
Edo,Etsako Central,12,7,1207,1207
Edo,Etsako East,12,8,1208,1208
Edo,Etsako West,12,9,1209,1209
Edo,Iguegben,12,10,1210,1210
Edo,Ikpoba-Okha,12,11,1211,1211
Edo,Oredo,12,12,1212,1212
Edo,Orhionmwon,12,13,1213,1213
Edo,Ovia North-East,12,14,1214,1214
Edo,Ovia South-West,12,15,1215,1215
Edo,Owan East,12,16,1216,1216
Edo,Owan West,12,17,1217,1217
Edo,Uhunmwonde,12,18,1218,1218
Ekiti,Ado-Ekiti,13,1,1301,1301
Ekiti,Efon,13,2,1302,1302
Ekiti,Ekiti East,13,3,1303,1303
Ekiti,Ekiti South-West,13,4,1304,1304
Ekiti,Ekiti West,13,5,1305,1305
Ekiti,Emure,13,6,1306,1306
Ekiti,Gbonyin,13,7,1307,1307
Ekiti,Ido-Osi,13,8,1308,1308
Ekiti,Ijero,13,9,1309,1309
Ekiti,Ikere,13,10,1310,1310
Ekiti,Ikole,13,11,1311,1311
Ekiti,Ilejemeje,13,12,1312,1312
Ekiti,Irepodun/Ifelodun,13,13,1313,1313
Ekiti,Ise/Orun,13,14,1314,1314
Ekiti,Moba,13,15,1315,1315
Ekiti,Oye,13,16,1316,1316
Enugu,Aninri,14,1,1401,1401
Enugu,Awgu,14,2,1402,1402
Enugu,Enugu East,14,3,1403,1403
Enugu,Enugu North,14,4,1404,1404
Enugu,Enugu South,14,5,1405,1405
Enugu,Ezeagu,14,6,1406,1406
Enugu,Igbo-Etiti,14,7,1407,1407
Enugu,Igbo-Eze-North,14,8,1408,1408
Enugu,Igbo-Eze-South,14,9,1409,1409
Enugu,Isi-Uzo,14,10,1410,1410
Enugu,Nkanu East,14,11,1411,1411
Enugu,Nkanu West,14,12,1412,1412
Enugu,Nsukka,14,13,1413,1413
Enugu,Oji-River,14,14,1414,1414
Enugu,Udenu,14,15,1415,1415
Enugu,Udi,14,16,1416,1416
Enugu,Uzo-Uwani,14,17,1417,1417
"FCT, Abuja",Abaji,15,1,1501,1501
"FCT, Abuja",Bwari,15,2,1502,1502
"FCT, Abuja",Gwagwalada,15,3,1503,1503
"FCT, Abuja",Kuje,15,4,1504,1504
"FCT, Abuja",Kwali,15,5,1505,1505
"FCT, Abuja",Municipal Area Council,15,6,1506,1506
Gombe,Akko,16,1,1601,1601
Gombe,Balanga,16,2,1602,1602
Gombe,Billiri,16,3,1603,1603
Gombe,Dukku,16,4,1604,1604
Gombe,Funakaye,16,5,1605,1605
Gombe,Gombe,16,6,1606,1606
Gombe,Kaltungo,16,7,1607,1607
Gombe,Kwami,16,8,1608,1608
Gombe,Nafada,16,9,1609,1609
Gombe,Shomgom,16,10,1610,1610
Gombe,Yamaltu/Deba,16,11,1611,1611
Imo,Aboh-Mbaise,17,1,1701,1701
Imo,Ahiazu-Mbaise,17,2,1702,1702
Imo,Ehime-Mbano,17,3,1703,1703
Imo,Ezinihitte,17,4,1704,1704
Imo,Ideato North,17,5,1705,1705
Imo,Ideato South,17,6,1706,1706
Imo,Ihitte/Uboma,17,7,1707,1707
Imo,Ikeduru,17,8,1708,1708
Imo,Isiala Mbano,17,9,1709,1709
Imo,Isu,17,10,1710,1710
Imo,Mbatoli,17,11,1711,1711
Imo,Ngor-Okpala,17,12,1712,1712
Imo,Njaba,17,13,1713,1713
Imo,Nkwerre,17,14,1714,1714
Imo,Nwangele,17,15,1715,1715
Imo,Obowo,17,16,1716,1716
Imo,Oguta,17,17,1717,1717
Imo,Ohaji/Egbema,17,18,1718,1718
Imo,Okigwe,17,19,1719,1719
Imo,Orlu,17,20,1720,1720
Imo,Orsu,17,21,1721,1721
Imo,Oru East,17,22,1722,1722
Imo,Oru West,17,23,1723,1723
Imo,Owerri Municipal,17,24,1724,1724
Imo,Owerri North,17,25,1725,1725
Imo,Owerri West,17,26,1726,1726
Imo,Unuimo,17,27,1727,1727
Jigawa,Auyo,18,1,1801,1801
Jigawa,Babura,18,2,1802,1802
Jigawa,Birnin Kudu,18,3,1803,1803
Jigawa,Birniwa,18,4,1804,1804
Jigawa,Buji,18,5,1805,1805
Jigawa,Dutse,18,6,1806,1806
Jigawa,Gagarawa,18,7,1807,1807
Jigawa,Garki,18,8,1808,1808
Jigawa,Gumel,18,9,1809,1809
Jigawa,Guri,18,10,1810,1810
Jigawa,Gwaram,18,11,1811,1811
Jigawa,Gwiwa,18,12,1812,1812
Jigawa,Hadejia,18,13,1813,1813
Jigawa,Jahun,18,14,1814,1814
Jigawa,Kafin Hausa,18,15,1815,1815
Jigawa,Kaugama,18,16,1816,1816
