State,LGAName,StateCode,sLGACode,LGACodetxt,LGACode
Oyo,Iwajowa,31,18,3118,3118
Oyo,Kajola,31,19,3119,3119
Oyo,Lagelu,31,20,3120,3120
Oyo,Ogbomosho North,31,21,3121,3121
Oyo,Ogbomosho South,31,22,3122,3122
Oyo,Ogo Oluwa,31,23,3123,3123
Oyo,Olorunsogo,31,24,3124,3124
Oyo,Oluyole,31,25,3125,3125
Oyo,Ona ara,31,26,3126,3126
Oyo,Orelope,31,27,3127,3127
Oyo,Ori Ire,31,28,3128,3128
Oyo,Oyo East,31,29,3129,3129
Oyo,Oyo West,31,30,3130,3130
Oyo,Saki East,31,31,3131,3131
Oyo,Saki West,31,32,3132,3132
Oyo,Surulere,31,33,3133,3133
Plateau,Barkin Ladi,32,1,3201,3201
Plateau,Bassa,32,2,3202,3202
Plateau,Bokkos,32,3,3203,3203
Plateau,Jos East,32,4,3204,3204
Plateau,Jos North,32,5,3205,3205
Plateau,Jos South,32,6,3206,3206
Plateau,Kanam,32,7,3207,3207
Plateau,Kanke,32,8,3208,3208
Plateau,Langtang North,32,9,3209,3209
Plateau,Langtang South,32,10,3210,3210
Plateau,Mangu,32,11,3211,3211
Plateau,Mikang,32,12,3212,3212
Plateau,Pankshin,32,13,3213,3213
Plateau,Qua'an Pan,32,14,3214,3214
Plateau,Riyom,32,15,3215,3215
Plateau,Shendam,32,16,3216,3216
Plateau,Wase,32,17,3217,3217
Rivers,Abua/Odual,33,1,3301,3301
Rivers,Ahoada East,33,2,3302,3302
Rivers,Ahoada West,33,3,3303,3303
Rivers,Akuku Toru,33,4,3304,3304
Rivers,Andoni,33,5,3305,3305
Rivers,Asari-Toru,33,6,3306,3306
Rivers,Bonny,33,7,3307,3307
Rivers,Degema,33,8,3308,3308
Rivers,Eleme,33,9,3309,3309
Rivers,Emuoha,33,10,3310,3310
Rivers,Etche,33,11,3311,3311
Rivers,Gokana,33,12,3312,3312
Rivers,Ikwerre,33,13,3313,3313
Rivers,Khana,33,14,3314,3314
Rivers,Obio/Akpor,33,15,3315,3315
Rivers,Ogba/Egbema/Ndoni,33,16,3316,3316
Rivers,Ogu Bolo,33,17,3317,3317
Rivers,Okrika,33,18,3318,3318
Rivers,Omumma,33,19,3319,3319
Rivers,Opobo/Nkoro,33,20,3320,3320
Rivers,Oyigbo,33,21,3321,3321
Rivers,Port-Harcourt,33,22,3322,3322
Rivers,Tai,33,23,3323,3323
Sokoto,Binji,34,1,3401,3401
Sokoto,Bodinga,34,2,3402,3402
Sokoto,Dange-Shuni,34,3,3403,3403
Sokoto,Gada,34,4,3404,3404
Sokoto,Goronyo,34,5,3405,3405
Sokoto,Gudu,34,6,3406,3406
Sokoto,Gwadabawa,34,7,3407,3407
Sokoto,Illela,34,8,3408,3408
Sokoto,Isa,34,9,3409,3409
Sokoto,Kebbe,34,10,3410,3410
Sokoto,Kware,34,11,3411,3411
Sokoto,Rabah,34,12,3412,3412
Sokoto,Sabon Birni,34,13,3413,3413
Sokoto,Shagari,34,14,3414,3414
Sokoto,Silame,34,15,3415,3415
Sokoto,Sokoto North,34,16,3416,3416
Sokoto,Sokoto South,34,17,3417,3417
Sokoto,Tambuwal,34,18,3418,3418
Sokoto,Tangaza,34,19,3419,3419
Sokoto,Tureta,34,20,3420,3420
Sokoto,Wamako,34,21,3421,3421
Sokoto,Wurno,34,22,3422,3422
Sokoto,Yabo,34,23,3423,3423
Taraba,Ardo-Kola,35,1,3501,3501
Taraba,Bali,35,2,3502,3502
Taraba,Donga,35,3,3503,3503
Taraba,Gashaka,35,4,3504,3504
Taraba,Gassol,35,5,3505,3505
Taraba,Ibi,35,6,3506,3506
Taraba,Jalingo,35,7,3507,3507
Taraba,Karim Lamido,35,8,3508,3508
Taraba,Kurmi,35,9,3509,3509
Taraba,Lau,35,10,3510,3510
Taraba,Sardauna,35,11,3511,3511
Taraba,Takum,35,12,3512,3512
Taraba,Ussa,35,13,3513,3513
Taraba,Wukari,35,14,3514,3514
Taraba,Yorro,35,15,3515,3515
Taraba,Zing,35,16,3516,3516
Yobe,Barde,36,1,3601,3601
Yobe,Borsari,36,2,3602,3602
Yobe,Damaturu,36,3,3603,3603
Yobe,Fika,36,4,3604,3604
Yobe,Fune,36,5,3605,3605
Yobe,Geidam,36,6,3606,3606
Yobe,Gujba,36,7,3607,3607
Yobe,Gulani,36,8,3608,3608
Yobe,Jakusko,36,9,3609,3609
Yobe,Karasuwa,36,10,3610,3610
Yobe,Machina,36,11,3611,3611
Yobe,Nangere,36,12,3612,3612
Yobe,Nguru,36,13,3613,3613
Yobe,Potiskum,36,14,3614,3614
Yobe,Tarmua,36,15,3615,3615
Yobe,Yunusari,36,16,3616,3616
Yobe,Yusufari,36,17,3617,3617
Zamfara,Anka,37,1,3701,3701
Zamfara,Bakura,37,2,3702,3702
Zamfara,Birnin Magaji,37,3,3703,3703
Zamfara,Bukkuyum,37,4,3704,3704
Zamfara,Bungudu,37,5,3705,3705
Zamfara,Gummi,37,6,3706,3706
Zamfara,Gusau,37,7,3707,3707
Zamfara,Kaura Namoda,37,8,3708,3708
Zamfara,Maradun,37,9,3709,3709
Zamfara,Maru,37,10,3710,3710
Zamfara,Shinkafi,37,11,3711,3711
Zamfara,Talata Mafara,37,12,3712,3712
Zamfara,Tsafe,37,13,3713,3713
Zamfara,Zurmi,37,14,3714,3714
