countries,Dengue,Meningitis,West Nile Virus,Cholera,Anthrax,Salmonella,Ebola,Swine Flu H1N1,Whooping Cough,Avian Influenza,Influenza,E. coli,Waterborne Illness,Gastroenteritis,Rabies,Not Yet Classified,Epizootic Hemorrhagic Disease,Swine Flu H3N2,Hantavirus,Coronavirus,Measles,African Swine Fever,Listeriosis,Mumps,Legionnaires',Norovirus,Foot and Mouth,Eastern Equine Encephalitis,Malaria,Polio,Foodborne Illness,Diarrhea,Poisoning,Plague,Other Animal Disease,"Hand, Foot and Mouth Disease",Tuberculosis,Marburg Fever,Undiagnosed,Chicken Pox,Schmallenberg,Animal Die-off,HIV/AIDS,Chikungunya,Other Plant Disease,Environmental,Syphilis,Peste des petits ruminants,Hepatitis A,SARS,Pests,Typhoid,Dysentery,Respiratory Illness,Equine Infectious Anemia,Algae,Botulism,Newcastle Disease,Encephalitis,Pneumonia,Scabies,MRSA,Fever,Other Human Disease
Honduras,204,0,3.0,0,0,0,0.0,0,0,0,8,0.0,0.0,0,6,0,0,0.0,0,0,0,3,0,0,0,0,0,0,3,0,0,9,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,6,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Cuba,82,0,0.0,156,0,0,0.0,0,0,0,10,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,3,0,0.0,0,0,5,0.0,3,0,3,57,0.0,0.0,8,0,0,0,0.0,0,0,20,0,2,0,0,11,0,0,0,0,0,0,0,0,18,0,10,0,0,3,0,3,18,0,6,1,6,0,0,0,10,2.0,0,1,0,3,0,0,0,0,9,0,0,0
Peru,112,4,0.0,0,0,4,0.0,11,19,0,19,0.0,0.0,0,16,0,0,0.0,0,0,0,0,0,0,0,0,0,0,3,0,17,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,0,6,0,0,0,0,0,7,3,0,0,0
Philippines,148,0,0.0,0,0,0,0.0,0,0,0,0,0.0,2.0,2,0,4,0,0.0,0,0,0,0,0,0,0,0,0,0,5,0,5,5,0,0,0,3,3,0,0,0,0,0,0,32,0,0,0,0,12,0,0,0.0,0,2,0,0,0,0,0,0,0,0,0,0
Saudi Arabia,0,5,0.0,0,0,0,2.0,0,0,0,0,0.0,0.0,5,0,2,0,0.0,0,152,0,0,0,2,0,0,9,0,0,0,9,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,3,0,15,0,2.0,0,4,0,0,0,0,0,0,0,0,0,3
Spain,9,32,0.0,4,0,16,0.0,3,0,0,6,9.0,3.0,6,3,2,0,0.0,0,0,6,0,13,7,42,0,0,0,3,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0.0,0,1,0,0,0,0,0,6,6,0,0,3
Ukraine,0,11,0.0,0,28,16,0.0,0,0,0,7,0.0,0.0,59,0,3,0,0.0,0,0,11,30,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,26,0,0,0,0,0,0,0,0,0,0,0
El Salvador,174,0,0.0,0,0,0,0.0,0,10,0,10,3.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Venezuela,109,49,0.0,7,4,0,0.0,2,0,0,0,0.0,0.0,0,0,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,0,0,0,0,0,0,0,0,3,7
Colombia,127,12,0.0,10,0,0,0.0,0,3,0,2,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,3,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0.0,0,3,0,0,0,0,0,0,0,0,0,0
France,9,44,3.0,0,4,10,0.0,0,0,0,0,7.0,2.0,4,0,0,0,0.0,10,0,9,0,0,0,8,2,0,0,0,0,4,0,0,0,0,0,3,0,0,0,6,0,0,8,0,0,0,0,6,0,0,0.0,0,0,3,0,0,0,0,0,9,0,0,0
Chile,0,67,0.0,3,0,0,0.0,0,6,0,14,0.0,0.0,0,0,0,0,0.0,24,0,0,0,0,0,0,0,0,0,0,0,11,0,28,0,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Nigeria,0,0,0.0,4,0,0,0.0,0,0,0,0,0.0,0.0,0,21,0,0,0.0,0,0,6,0,0,0,0,0,0,0,0,107,0,0,3,0,3,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0
Indonesia,0,0,0.0,0,0,0,0.0,0,0,68,0,7.0,2.0,0,4,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,6,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0.0,3,3,0,0,0,0,3,0,0,0,0,0
Paraguay,121,12,0.0,0,0,0,0.0,0,0,0,13,0.0,3.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,3,0,0,0,0,0,3,0,0,0,0
New Zealand,0,0,0.0,0,0,0,0.0,0,6,0,21,0.0,2.0,15,0,0,0,0.0,0,0,0,0,5,0,0,65,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,3,0,0,15,0,3,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0
Greece,22,0,49.0,0,6,0,0.0,0,0,0,0,0.0,0.0,0,9,0,0,0.0,0,0,0,0,0,0,3,0,0,0,29,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Kenya,0,0,0.0,12,13,0,23.0,0,0,0,8,0.0,0.0,0,0,0,0,0.0,0,0,38,0,0,0,0,0,0,0,12,0,0,3,0,0,2,0,3,0,3,0,0,0,0,0,0,0,0,15,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
